liyi@liyi-Lenovo-IdeaPad-Y400:~/svn/dblpmining$ python hw1.py 1
[[u'D\xf3ra Erd\xf6s', u'Vatche Ishakian'], 0.375]
[[u'Ian Davidson', u'Xiang Wang'], 0.3738461538461539]
[[u'Peilin Zhao', u'Jialei Wang'], 0.37202380952380953]
[[u'Iadh Ounis', u'Richard McCreadie'], 0.36764705882352944]
[[u'Zheng Chen', u'Jun Yan'], 0.36734693877551017]
[[u'Claudio Lucchese', u'Salvatore Orlando'], 0.36]
[[u'Ron Kohavi', u'Ya Xu'], 0.35555555555555557]
[[u'Claudio Gentile', u'Giovanni Zappella'], 0.3472222222222222]
[[u'Yanyan Lan', u'Jun Xu'], 0.34615384615384615]
[[u'Ee-Peng Lim', u'Freddy Chong Tat Chua'], 0.34615384615384615]
[[u'Ahmed Hassan Awadallah', u'Youngho Kim'], 0.33749999999999997]
[[u'Wilfred Ng', u'Da Yan'], 0.3333333333333333]
[[u'Yixin Chen', u'Yi Mao'], 0.3333333333333333]
[[u'Xingquan Zhu', u'Shirui Pan'], 0.3214285714285714]
[[u'Bhavani M. Thuraisingham', u'Yan Zhou'], 0.3214285714285714]
[[u'Nanning Zheng', u'Kuizhi Mei'], 0.3214285714285714]
[[u'Jieping Ye', u'Jiayu Zhou'], 0.3205128205128205]
[[u'Jie Tang', u'Sen Wu'], 0.32026143790849676]
[[u'Ian Davidson', u'Sethuraman Panchanathan'], 0.31999999999999995]
[[u'Hans-Peter Kriegel', u'Erich Schubert'], 0.3157894736842105]
[[u'Zoubin Ghahramani', u'Neil Houlsby'], 0.3103448275862069]
[[u'Yanyan Lan', u'Shuzi Niu'], 0.3076923076923077]
[[u'Johannes Gehrke', u'Yin Lou'], 0.3076923076923077]
[[u'Tamara G. Kolda', u'Ali Pinar'], 0.30476190476190473]
[[u'Li Guo', u'Peng Wang'], 0.3020979020979021]
[[u'Xiaofei He', u'Deng Cai'], 0.30087719298245613]
[[u'Jacob Abernethy', u'Alexander Rakhlin'], 0.30000000000000004]
[[u'Fosca Giannotti', u'Michele Coscia'], 0.3]
[[u'Yangqiu Song', u'Shixia Liu'], 0.3]
[[u'Ming-Syan Chen', u'De-Nian Yang'], 0.29977477477477477]
[[u'Craig Macdonald', u'Richard McCreadie'], 0.2976190476190476]
[[u'Claudio Gentile', u'Fabio Vitale'], 0.2962962962962963]
[[u'Nan Du', u'Kang Li'], 0.2962962962962963]
[[u'Licheng Jiao', u'Shuang Wang'], 0.2962962962962963]
[[u'Ron Kohavi', u'Toby Walker'], 0.28125]
[[u'Stephan G\xfcnnemann', u'Hardy Kremer'], 0.2807017543859649]
[[u'Latifur Khan', u'Bhavani M. Thuraisingham'], 0.2748397435897436]
[[u'Chang-Tien Lu', u'Bingsheng Wang'], 0.26666666666666666]
[[u'De-Nian Yang', u'Chih-Ya Shen'], 0.26666666666666666]
[[u'Byron Choi', u'Sourav S. Bhowmick'], 0.26666666666666666]
[[u'Yoshua Bengio', u'Ian J. Goodfellow'], 0.26666666666666666]
[[u'Jiafeng Guo', u'Jun Xu'], 0.2647058823529412]
[[u'Mohammed Javeed Zaki', u'Jason Tsong-Li Wang'], 0.2647058823529412]
[[u'Steven C. H. Hoi', u'Pengcheng Wu'], 0.26344086021505375]
[[u'Huan Liu', u'Huiji Gao'], 0.25961538461538464]
[[u'Anton van den Hengel', u'Lingqiao Liu'], 0.2596153846153846]
[[u'Quanquan Gu', u'Xiao Yu'], 0.2596153846153846]
[[u'Tom M. Mitchell', u'Partha Pratim Talukdar'], 0.25396825396825395]
[[u'Maarten de Rijke', u'Wouter Weerkamp'], 0.2507309941520468]
[[u'Xiaogang Wang', u'Yi Sun'], 0.25]
[[u'Xiaoou Tang', u'Yi Sun'], 0.25]
[[u'Yudong Chen', u'Shiau Hong Lim'], 0.25]
[[u'Kai Ming Ting', u'Jonathan R. Wells'], 0.24615384615384617]
[[u'Dinh Q. Phung', u'Sunil Kumar Gupta'], 0.24545454545454543]
[[u'Iadh Ounis', u'Nicola Tonellotto'], 0.2450980392156863]
[[u'Harikrishna Narasimhan', u'Purushottam Kar'], 0.24107142857142855]
[[u'Ping Luo', u'Fuzhen Zhuang'], 0.23819444444444446]
[[u'Arthur Zimek', u'Ricardo J. G. B. Campello'], 0.23703703703703702]
[[u'Hans-Peter Kriegel', u'Peer Kr\xf6ger'], 0.23684210526315788]
[[u'Xindong Wu', u'Kui Yu'], 0.23684210526315785]
[[u'Jiafeng Guo', u'Shuzi Niu'], 0.23529411764705882]
[[u'Arthur Zimek', u'Erich Schubert'], 0.23148148148148148]
[[u'Svetha Venkatesh', u'Duc-Son Pham'], 0.22857142857142856]
[[u'Dinh Q. Phung', u'Truyen Tran'], 0.22727272727272724]
[[u'Yoshua Bengio', u'Mehdi Mirza'], 0.22499999999999998]
[[u'Cheng-Wei Wu', u'Philippe Fournier-Viger'], 0.2222222222222222]
[[u'Jiawei Han', u'Xiao Yu'], 0.22153846153846155]
[[u'Fei Wang 0001', u'Shiqiang Yang'], 0.22129032258064515]
[[u'Chengqi Zhang', u'Shirui Pan'], 0.22045855379188714]
[[u'Vincent S. Tseng', u'Philippe Fournier-Viger'], 0.21701388888888892]
[[u'Nicol\xf2 Cesa-Bianchi', u'Fabio Vitale'], 0.21333333333333332]
[[u'Chunhua Shen', u'Lingqiao Liu'], 0.2109375]
[[u'Aixin Sun', u'Chenliang Li'], 0.21052631578947367]
[[u'Michael I. Jordan', u'Martin J. Wainwright'], 0.2076923076923077]
[[u'Peng Zhang', u'Peng Wang'], 0.2066985645933014]
[[u'Qi He', u'Jianshu Weng'], 0.20512820512820515]
[[u'Jing Gao', u'Kang Li'], 0.20424836601307192]
[[u'Christos Faloutsos', u'Alex Beutel'], 0.20317460317460317]
[[u'Dino Pedreschi', u'Michele Coscia'], 0.2]
[[u'Jianmin Wang 0001', u'Jun Zhang'], 0.2]
[[u'Kuiyu Chang', u'Guangxia Li'], 0.2]
[[u'Nader H. Bshouty', u'Christino Tamon'], 0.19999999999999998]
[[u'Ping Luo', u'Qing He'], 0.19849537037037043]
[[u'Xueqi Cheng', u'Jun Xu'], 0.19565217391304346]
[[u'Dinh Q. Phung', u'Budhaditya Saha'], 0.19393939393939397]
[[u'Shiqiang Yang', u'Alex Beutel'], 0.19285714285714284]
[[u'Steven C. H. Hoi', u'Jialei Wang'], 0.19201228878648235]
[[u'Jieping Ye', u'Sethuraman Panchanathan'], 0.18962962962962962]
[[u'Philip S. Yu', u'Zhifeng Hao'], 0.1871345029239766]
[[u'Xiangnan Kong', u'Bokai Cao'], 0.1855072463768116]
[[u'Svetha Venkatesh', u'Budhaditya Saha'], 0.18518518518518517]
[[u'Svetha Venkatesh', u'Truyen Tran'], 0.18518518518518517]
[[u'Longbing Cao', u'Yanshan Xiao'], 0.18000000000000002]
[[u'Guiguang Ding', u'Zijia Lin'], 0.18]
[[u'Jianliang Xu', u'Sourav S. Bhowmick'], 0.17777777777777778]
[[u'Huan Xu', u'Shiau Hong Lim'], 0.17777777777777778]
[[u'Jing Gao', u'Nan Du'], 0.17647058823529413]
[[u'Fei Wang 0001', u'Jianying Hu'], 0.17419354838709677]
[[u'Xueqi Cheng', u'Shuzi Niu'], 0.17391304347826086]
[[u'Michael I. Jordan', u'Fabian L. Wauthier'], 0.17307692307692307]
[[u'Chi Wang 0001', u'Xiang Ren'], 0.1693121693121693]
[[u'Takashi Washio', u'Jonathan R. Wells'], 0.16874999999999998]
[[u'Pavel Serdyukov', u'Eugene Kharitonov'], 0.16842105263157894]
[[u'Claudio Gentile', u'Alex Conconi'], 0.16666666666666666]
[[u'Tianbao Yang', u'Lijun Zhang 0005'], 0.16339869281045752]
[[u'Paul N. Bennett', u'Susan T. Dumais'], 0.16326530612244897]
[[u'Masashi Sugiyama', u'Gang Niu'], 0.16276041666666669]
[[u'Dinh Q. Phung', u'Duc-Son Pham'], 0.16233766233766234]
[[u'Peng Cui', u'Alex Beutel'], 0.1607142857142857]
[[u'Shenghuo Zhu', u'Tianbao Yang'], 0.16013071895424838]
[[u'Nicol\xf2 Cesa-Bianchi', u'Giovanni Zappella'], 0.16]
[[u'Yishay Mansour', u'Eyal Even-Dar'], 0.15384615384615385]
[[u'Yong Ge', u'Chuanren Liu'], 0.15384615384615385]
[[u'Rich Caruana', u'Yin Lou'], 0.15340909090909088]
[[u'Ming-Syan Chen', u'Chih-Hua Tai'], 0.14714714714714716]
[[u'Changshui Zhang', u'Pinghua Gong'], 0.1467391304347826]
[[u'Chris H. Q. Ding', u'Feiping Nie'], 0.14583333333333331]
[[u'Ping Luo', u'Xiaoou Tang'], 0.14467592592592593]
[[u'Lijun Zhang 0005', u'Mehrdad Mahdavi'], 0.14222222222222222]
